

name,time/op (ns/op),±
RateLimiter/type:atomic;max_procs:8;x:832-16,1.41000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:864-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:896-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:928-16,1.41000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:960-16,1.41000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:992-16,1.41000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1024-16,1.40333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:1088-16,1.40000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1152-16,1.41667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1216-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1280-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1344-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1408-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1472-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1536-16,1.40667E+02,1%
RateLimiter/type:atomic;max_procs:8;x:1600-16,1.41000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:1664-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1728-16,1.40000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1792-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1856-16,1.41333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:1920-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:1984-16,1.41000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2048-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2176-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2304-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2432-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2560-16,1.41000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:2688-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2816-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:2944-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3072-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3200-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3328-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3456-16,1.41000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3584-16,1.40667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3712-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3840-16,1.39667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:3968-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:4096-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:4608-16,1.39667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:5120-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:5632-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:6144-16,1.39667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:6656-16,1.39333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:7168-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:7680-16,1.39000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:8192-16,1.39667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:8704-16,1.39667E+02,1%
RateLimiter/type:atomic;max_procs:8;x:9216-16,1.39333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:9728-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:10240-16,1.39667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:10752-16,1.39000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:11264-16,1.38667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:11776-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:12288-16,1.39000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:12800-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:13312-16,1.40333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:13824-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:14336-16,1.39667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:14848-16,1.39000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:15360-16,1.38667E+02,1%
RateLimiter/type:atomic;max_procs:8;x:15872-16,1.39000E+02,0%
RateLimiter/type:atomic;max_procs:8;x:16384-16,1.38333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:18432-16,1.39000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:20480-16,1.38333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:22528-16,1.39000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:24576-16,1.40333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:26624-16,1.45333E+02,7%
RateLimiter/type:atomic;max_procs:8;x:28672-16,1.39333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:30720-16,1.40667E+02,2%
RateLimiter/type:atomic;max_procs:8;x:32768-16,1.40000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:34816-16,1.40000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:36864-16,1.41000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:38912-16,1.41333E+02,2%
RateLimiter/type:atomic;max_procs:8;x:40960-16,1.41667E+02,1%
RateLimiter/type:atomic;max_procs:8;x:43008-16,1.40333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:45056-16,1.42667E+02,3%
RateLimiter/type:atomic;max_procs:8;x:47104-16,1.41333E+02,0%
RateLimiter/type:atomic;max_procs:8;x:49152-16,1.43000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:51200-16,1.42667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:53248-16,1.42000E+02,1%
RateLimiter/type:atomic;max_procs:8;x:55296-16,1.44333E+02,1%
RateLimiter/type:atomic;max_procs:8;x:57344-16,1.43000E+02,2%
RateLimiter/type:atomic;max_procs:8;x:59392-16,1.41667E+02,3%
RateLimiter/type:atomic;max_procs:8;x:61440-16,1.44667E+02,0%
RateLimiter/type:atomic;max_procs:8;x:63488-16,1.45333E+02,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1-16,6.63667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2-16,5.39667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3-16,3.94000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:4-16,3.46000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:5-16,3.63333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:6-16,3.61333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:7-16,3.60333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:8-16,3.54667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:9-16,3.47000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:10-16,3.42000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:11-16,3.34667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:12-16,3.28333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:13-16,3.26667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:14-16,3.25000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:15-16,3.23000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:16-16,3.21333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:24-16,3.21333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:32-16,3.20000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:40-16,3.17333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:48-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:56-16,3.16333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:64-16,3.16000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:72-16,3.16000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:80-16,3.15333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:88-16,3.15000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:96-16,3.15000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:104-16,3.14333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:112-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:120-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:128-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:144-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:160-16,3.13333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:176-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:192-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:208-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:224-16,3.12333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:240-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:256-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:272-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:288-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:304-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:320-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:336-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:352-16,3.11667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:368-16,3.11667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:384-16,3.11333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:400-16,3.11000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:416-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:432-16,3.11333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:448-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:464-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:480-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:496-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:512-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:544-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:576-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:608-16,3.12000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:640-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:672-16,3.12333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:704-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:736-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:768-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:800-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:832-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:864-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:896-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:928-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:960-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:992-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1024-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1088-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1152-16,3.12667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1216-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1280-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1344-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1408-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1472-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1536-16,3.13000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1600-16,3.13333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1664-16,3.13667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1728-16,3.13667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1792-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1856-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1920-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:1984-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2048-16,3.14000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2176-16,3.14333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2304-16,3.15000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2432-16,3.15000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2560-16,3.15000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2688-16,3.15333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2816-16,3.16000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:2944-16,3.16000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3072-16,3.16000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3200-16,3.16667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3328-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3456-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3584-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3712-16,3.17333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3840-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:3968-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:4096-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:4608-16,3.17000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:5120-16,3.18000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:5632-16,3.18000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:6144-16,3.18000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:6656-16,3.19000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:7168-16,3.19000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:7680-16,3.19000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:8192-16,3.19333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:8704-16,3.20000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:9216-16,3.20000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:9728-16,3.20000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:10240-16,3.20000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:10752-16,3.20667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:11264-16,3.21000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:11776-16,3.21000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:12288-16,3.21000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:12800-16,3.21000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:13312-16,3.21667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:13824-16,3.21667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:14336-16,3.21667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:14848-16,3.22000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:15360-16,3.22000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:15872-16,3.23000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:16384-16,3.22667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:18432-16,3.23667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:20480-16,3.25000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:22528-16,3.26667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:24576-16,3.27333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:26624-16,3.29667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:28672-16,3.32000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:30720-16,3.34667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:32768-16,3.38333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:34816-16,3.40333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:36864-16,3.43000E+01,1%
RateLimiter/type:atomic_int64;max_procs:8;x:38912-16,3.44667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:40960-16,3.47667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:43008-16,3.50000E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:45056-16,3.50667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:47104-16,3.53667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:49152-16,3.55667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:51200-16,3.57667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:53248-16,3.60000E+01,1%
RateLimiter/type:atomic_int64;max_procs:8;x:55296-16,3.61333E+01,1%
RateLimiter/type:atomic_int64;max_procs:8;x:57344-16,3.63000E+01,1%
RateLimiter/type:atomic_int64;max_procs:8;x:59392-16,3.64667E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:61440-16,3.66333E+01,0%
RateLimiter/type:atomic_int64;max_procs:8;x:63488-16,3.67333E+01,0%
RateLimiter/type:mutex;max_procs:8;x:1-16,7.33333E+01,0%
RateLimiter/type:mutex;max_procs:8;x:2-16,8.95333E+01,0%
RateLimiter/type:mutex;max_procs:8;x:3-16,9.72667E+01,0%
RateLimiter/type:mutex;max_procs:8;x:4-16,1.01667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:5-16,1.05667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:6-16,1.10000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:7-16,1.11667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:8-16,1.13667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:9-16,1.15667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:10-16,1.16333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:11-16,1.17000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:12-16,1.18000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:13-16,1.18000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:14-16,1.18667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:15-16,1.18000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:16-16,1.18000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:24-16,1.18333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:32-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:40-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:48-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:56-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:64-16,1.18333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:72-16,1.18333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:80-16,1.18667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:88-16,1.18667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:96-16,1.18667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:104-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:112-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:120-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:128-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:144-16,1.19000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:160-16,1.19667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:176-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:192-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:208-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:224-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:240-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:256-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:272-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:288-16,1.20333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:304-16,1.20000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:320-16,1.20667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:336-16,1.21000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:352-16,1.21000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:368-16,1.22000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:384-16,1.22333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:400-16,1.23000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:416-16,1.23000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:432-16,1.24000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:448-16,1.24000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:464-16,1.24333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:480-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:496-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:512-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:544-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:576-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:608-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:640-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:672-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:704-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:736-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:768-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:800-16,1.25333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:832-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:864-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:896-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:928-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:960-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:992-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1024-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1088-16,1.25000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1152-16,1.25667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:1216-16,1.25333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:1280-16,1.25667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:1344-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1408-16,1.25667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:1472-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1536-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1600-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1664-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1728-16,1.25667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:1792-16,1.26333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:1856-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1920-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:1984-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:2048-16,1.26000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:2176-16,1.26333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:2304-16,1.26333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:2432-16,1.26667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:2560-16,1.27333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:2688-16,1.27000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:2816-16,1.27000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:2944-16,1.27667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:3072-16,1.27000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:3200-16,1.27333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:3328-16,1.27000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:3456-16,1.27667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:3584-16,1.27333E+02,1%
RateLimiter/type:mutex;max_procs:8;x:3712-16,1.28000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:3840-16,1.28000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:3968-16,1.28000E+02,0%
RateLimiter/type:mutex;max_procs:8;x:4096-16,1.27667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:4608-16,1.28667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:5120-16,1.29667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:5632-16,1.31000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:6144-16,1.30667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:6656-16,1.31000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:7168-16,1.31000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:7680-16,1.32000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:8192-16,1.33000E+02,2%
RateLimiter/type:mutex;max_procs:8;x:8704-16,1.32667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:9216-16,1.33333E+02,0%
RateLimiter/type:mutex;max_procs:8;x:9728-16,1.33000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:10240-16,1.34667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:10752-16,1.35333E+02,0%
RateLimiter/type:mutex;max_procs:8;x:11264-16,1.35000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:11776-16,1.35333E+02,2%
RateLimiter/type:mutex;max_procs:8;x:12288-16,1.35000E+02,1%
RateLimiter/type:mutex;max_procs:8;x:12800-16,1.35667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:13312-16,1.35667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:13824-16,1.36333E+02,0%
RateLimiter/type:mutex;max_procs:8;x:14336-16,1.37667E+02,1%
RateLimiter/type:mutex;max_procs:8;x:14848-16,1.37667E+02,0%
RateLimiter/type:mutex;max_procs:8;x:15360-16,1.36667E+02,0%
RateLimiter/type:mutex;max_procs:8;x:15872-16,1.38000E+02,1%
